linea,hora_inicio,hora_fin
L1,3:46,13:41
L2,14:59,19:9
L3,14:32,5:45
L4,9:59,24:18
L5,21:11,4:47
L6,14:35,3:8
L7,20:43,18:48
L8,5:18,12:17
L9,6:7,1:26
L10,3:24,10:55
L11,16:5,17:46
L12,21:22,4:25
L13,22:3,23:20
L14,7:8,6:38
L15,13:20,9:40
L16,6:33,16:20
L17,24:10,5:38
L18,13:25,7:19
L19,13:51,2:36
L20,17:58,2:27
L21,21:25,9:29
L22,5:35,1:26
L23,20:1,2:48
L24,10:17,16:55
L25,23:11,17:60
L26,6:31,9:33
L27,4:32,10:44
L28,12:28,22:7
L29,6:29,16:20
L30,23:3,24:47
L31,11:49,12:56
L32,12:60,13:37
L33,1:52,14:20
L34,4:27,5:14
L35,7:35,1:41
L36,12:48,4:49
L37,10:33,1:8
L38,6:18,13:13
L39,24:22,19:43
L40,4:2,21:45
L41,5:36,20:11
L42,16:26,16:49
L43,9:22,3:9
L44,22:26,23:33
L45,7:1,17:14
L46,6:28,10:51
L47,18:9,10:31
L48,17:51,10:12
L49,24:17,5:48
L50,17:5,24:26
L51,18:5,1:28
L52,5:38,23:43
L53,24:29,23:50
L54,1:54,14:22
L55,14:47,19:55
L56,17:6,18:44
L57,21:53,5:31
L58,12:7,1:31
L59,16:25,16:60
L60,8:49,8:15
L61,18:14,1:47
L62,19:5,5:51
L63,24:37,18:25
L64,7:9,3:48
L65,5:30,3:25
L66,22:12,12:53
L67,3:21,8:56
L68,10:10,13:10
L69,3:39,2:20
L70,2:17,4:52
L71,12:56,10:33
L72,11:23,18:42
L73,1:50,16:10
L74,11:15,6:4
L75,6:18,16:60
L76,13:60,10:9
L77,3:31,4:19
L78,23:31,5:60
L79,8:52,11:36
L80,16:42,2:53
L81,17:32,1:7
L82,7:8,1:24
L83,3:54,8:60
L84,20:17,15:5
L85,16:1,3:36
L86,4:15,24:14
L87,17:41,4:12
L88,23:12,14:11
L89,22:39,23:43
L90,3:54,12:21
L91,11:16,20:43
L92,10:3,15:37
L93,21:29,6:36
L94,20:46,20:40
L95,24:43,19:57
L96,18:18,21:14
L97,6:43,7:42
L98,10:38,24:11
L99,11:58,7:53
L100,3:6,15:46
