vehiculo,latitud,longitud,timestamp,lineas,paradas
Bus_1,42.477838,-2.424211,451200794.0,[nan],[nan]
Bus_10,42.479417,-2.474708,440148561.0,[nan],[nan]
Bus_100,42.463737,-2.430299,144899776.0,[nan],[nan]
Bus_11,42.431432,-2.435232,1070422919.0,[nan],[nan]
Bus_12,42.410999,-2.497878,1251400612.0,[nan],[nan]
Bus_13,42.494055,-2.470675,1214347577.0,['L2'],"['Parada Maximiliano Linares Suárez', 'Parada Inés Camila Cerdán Frutos']"
Bus_14,42.443497,-2.450467,1257134926.0,[nan],[nan]
Bus_15,42.489364,-2.439975,1302175712.0,[nan],[nan]
Bus_16,42.489664,-2.476241,1306694531.0,['L72'],['Parada Sofía Reyes Borja Torrent']
Bus_17,42.46954,-2.468128,445607447.0,['L100'],"['Parada Ernesto Goicoechea Almansa', 'Parada Verónica de Catalá']"
Bus_18,42.436337,-2.447663,391441056.0,['L34'],['Parada Tadeo Aguilar']
Bus_19,42.441235,-2.476748,24944166.0,[nan],[nan]
Bus_2,42.408332,-2.411584,778457458.0,['L69'],"['Parada Buenaventura Cornejo Andrade', 'Parada Toño Cerdán Alvarado']"
Bus_20,42.416326,-2.416131,654916719.0,[nan],[nan]
Bus_21,42.459087,-2.467696,738279288.0,[nan],[nan]
Bus_22,42.468078,-2.452802,1682837522.0,['L44'],['Parada Dorita Ariño']
Bus_23,42.498993,-2.421359,209332750.0,['L65'],['Parada Teófilo Rios Carnero']
Bus_24,42.458059,-2.428324,47808607.0,[nan],[nan]
Bus_25,42.465088,-2.420088,1649052787.0,['L80'],['Parada Isabela Palomar Torralba']
Bus_26,42.449776,-2.467167,491287897.0,[nan],[nan]
Bus_27,42.483477,-2.493876,665198295.0,[nan],[nan]
Bus_28,42.415166,-2.475195,937679893.0,[nan],[nan]
Bus_29,42.432919,-2.4865,1372847191.0,['L84'],['Parada Jacinta Bosch Cañete']
Bus_3,42.478635,-2.40407,602361711.0,['L28'],['Parada Esperanza Morales Borrás']
Bus_30,42.484338,-2.470305,671982106.0,[nan],[nan]
Bus_31,42.498054,-2.459992,147506784.0,[nan],[nan]
Bus_32,42.474778,-2.438271,1590870307.0,['L92'],"['Parada Toño Cerdán Alvarado', 'Parada Octavio Aragonés Piña', 'Parada Sofía Reyes Borja Torrent']"
Bus_33,42.447431,-2.400925,382310176.0,['L90'],"['Parada Dorita Ariño', 'Parada Emigdio Torre Gras', 'Parada Maximiliano Pinto Conesa', 'Parada Bruno Valera Coello']"
Bus_34,42.410053,-2.426196,1496679923.0,[nan],[nan]
Bus_35,42.410335,-2.468267,1348878738.0,['L52'],['Parada Marcelo Benitez']
Bus_36,42.434315,-2.42906,988261879.0,['L4'],['Parada Inés Camila Cerdán Frutos']
Bus_37,42.457739,-2.46169,600889541.0,[nan],[nan]
Bus_38,42.401968,-2.429907,1419458524.0,['L50'],['Parada Emigdio Torre Gras']
Bus_39,42.465141,-2.497004,1634787713.0,[nan],[nan]
