date,store_id,product_id,quantity_sold,revenue
2024-11-02,70,523b,47,23.64
2024-01-04,38,b8d3,8,332.79
2023-06-06,34,6ff8,23,60.65
2024-10-25,ERROR,b3fd,31,236.42
2023-09-30,74,baf6,40,62.23
2023-06-12,3,d0eb,5,31.62
2024-12-18,31,7294,22,201.89
2025-01-27,64,28a6,5,14.03
2023-10-31,48,5b37,41,
2024-12-16,64,780d,1,
2024-01-25,22,c232,32,13.46
2024-03-28,,ac97,,ERROR
2024-01-07,29,f6a3,NaN,157.34
2024-02-22,88,f324,44,388.85
2023-08-20,55,6903,12,490.68
2024-04-05,,44b7,23,394.3
2023-08-26,50,9ae3,7,472.6
2023-12-01,86,a2fa,30,471.89
2024-04-15,33,4856,NaN,76.46
2023-08-03,70,e427,11,26.46
2024-01-19,52,2243,50,437.52
2023-08-08,94,396d,24,254.31
2025-02-28,47,1592,50,256.18
2024-05-17,44,4142,17,228.77
2024-01-22,96,527c,9,413.52
2023-06-22,37,d953,13,127.67
2023-05-20,24,ed61,39,482.93
2025-01-20,39,ed1d,8,432.85
2024-05-07,60,3327,50,436.32
2023-07-24,33,66c1,11,304.8
2023-09-04,35,ERROR,41,ERROR
2023-05-25,66,9e8f,,ERROR
2023-08-19,64,5496,8,106.36
2023-12-04,XX,6b85,9,ERROR
2023-10-15,58,7248,32,265.41
2024-12-18,61,f24a,48,ERROR
,42,1b9f,5,114.13
2023-12-15,,3bc7,NaN,5.01
2023-11-06,43,,37,496.55
2023-11-05,16,03a0,24,423.49
2024-03-12,99,9b60,16,216.37
2025-01-11,70,29d3,50,336.48
ERROR,,5945,ERROR,376.16
2023-05-03,6,ERROR,5,316.91
2023-08-04,98,630b,NaN,336.6
2023-07-09,39,ERROR,5,353.8
2023-11-11,31,0b50,30,187.94
2025-01-18,87,6b82,3,240.31
2024-03-20,51,,2,
,84,,46,336.36
,25,259d,25,145.0
2023-07-16,,c497,26,96.5
2023-12-08,60,ca3a,3,112.37
2025-01-14,1,2bea,23,367.01
2025-01-17,38,834c,30,354.65
2023-07-20,ERROR,,38,263.54
2023-08-05,92,c8e6,20,62.31
2024-01-12,85,,44,367.83
