store_id,store_name,location,demographics
1,Butler-Butler,Brownside,medical
2,Calhoun  Turner and Kelly,Lawrenceberg,effect
3,ERROR,Lake Cynthiaview,give
4,Rodriguez-Jordan,New Jeffreymouth,human
5,Fox Ltd,South Nicholaston,building
6,Hess-Prince,Mauricemouth,recognize
7,Brown-Hernandez,North Travis,heavy
8,Lopez  Oconnor and Burnett,South Allison,although
9,Riggs  Martinez and Bates,Lake Ambertown,toward
10,Murphy LLC,South Erikburgh,pretty
11,Patterson and Sons,Woodview,None
12,Williams Group,Whitemouth,blood
13,Vargas-Day,New Christinehaven,get
14,Lynch Inc,New Jennifershire,charge
15,Cook-Todd,Daughertytown,direction
16,Wright  Brown and Vasquez,North William,safe
17,Wade  Erickson and Patton,Meganhaven,third
18,Wallace-Dawson,Christophershire,child
19,None,Jonesburgh,argue
20,Ali-Owen,Johnstad,term
21,Mcdaniel-Santos,West Billy,somebody
22,Chambers Group,Myersville,man
23,Hansen  Murray and Gray,North Paul,discussion
24,Howard PLC,Port Nancy,just
25,Brown  Johnson and Garcia,Eddiehaven,husband
26,Kim  Dunlap and Green,Kendraburgh,of
27,Marsh  Campbell and Smith,Stevenside,big
28,Webb Inc,Andrewville,affect
29,Hunt-Baker,South Jason,stage
30,Mullins Ltd,South Sabrina,white
31,Johnson and Sons,West Tamiland,job
32,Davenport  Callahan and Schneider,Fischerhaven,history
33,Wang-Sanchez,Phelpsberg,sit
34,Wallace-Murphy,Valerieville,south
35,Wilson PLC,South Dylan,discuss
36,Nelson-Evans,Stacystad,little
37,Harper-Jones,Johnstad,long
38,Moore and Sons,Williamsberg,necessary
39,Wolf-Johnson,New Laura,single
40,Fitzgerald PLC,South Kimberly,area
41,Holmes-Miller,New Alexandriaview,section
42,,East Toddburgh,want
43,Taylor LLC,Lake Matthewstad,foreign
44,Roth-Garner,New Robert,None
45,Bolton Group,Karenside,specific
46,Myers-Todd,Lake Christinaport,science
47,Davis-English,Shaunhaven,yourself
48,Dunn LLC,Elizabethburgh,itself
49,Hale-Anderson,Cookland,during
50,Turner  Choi and Johnson,North Maureenshire,process
51,Smith Ltd,Crawfordfurt,resource
52,None,Lake Paulburgh,administration
53,Blake  Thompson and Sweeney,Alexanderberg,tough
54,Brown Group,Torresfurt,claim
55,Owens Ltd,None,draw
56,,North Richard,personal
57,Lee  Franco and Davis,Jessicaburgh,worry
58,Reynolds Ltd,Meyerborough,condition
59,Lyons  Bradley and Brown,Wendybury,
60,Rios and Sons,West Bryan,every
61,Webb  Jones and Roberts,Pittmantown,machine
62,Chan PLC,New Kelli,marriage
63,ERROR,ERROR,nor
64,Price  Ortiz and Mason,Hannahborough,me
