date, store_ID, product_ID, quantity_Sold, revenue 
2025-02-22, 51, WBJ-421, 5, 232.58 
2025-03-04, None, VYS-279, 8, 141.12 
DATE_ERROR, 15, VBK-193, 48, 352.85 
2025-03-24, 5, HJU-332, 36, REVENUE_ERROR 
2025-03-18, 46, LSQ-117, 23, 454.8 
2025-02-14, , XXE-878, 16, 528.61 
, , QFN-296, 1, 781.97 
2025-03-06, 64, None, 22, 687.4 
2025-03-02, 8, WCE-596, 4, 996.07 
2025-01-30, 4, MBH-528, 9, 649.74 
DATE_ERROR, 9, MLC-696, QUANTITY_ERROR,  
, 8, RDM-370, 45, 238.8 
2025-03-06, 52, RBE-486, 39, 567.02 
2025-01-28, 69, MSK-812, , 694.67 
2025-03-03, 77, IIU-903, 49, 820.72 
2025-01-14, 24, IOT-677, 49, 412.46 
2025-01-21, 35, RTF-084, 19, 188.6 
2025-01-30, 62, HRD-180, None, 789.07 
2025-03-19, 28, FTG-718, 14, 366.37 
2025-01-09, 98, RMH-032, 3, 870.51 
2025-03-01, , PRODUCT_ERROR, 18, 307.05 
2025-03-23, 14, FAO-439, 32, 353.12 
, 70, NFA-254, 18, 26.72 
2025-03-31, 50, XAH-307, 20, 739.89 
2025-01-10, 8, BMH-034, 36, 970.63 
2025-02-13, 50, DZY-752, 14, REVENUE_ERROR 
2025-01-12, 71, ROZ-195, , 578.53 
2025-02-25, 64, PPM-310, 25, 603.61 
None, None, VPS-394, 50, 986.01 
2025-01-18, None, LXX-546, 10, 17.14 
DATE_ERROR, 88, BBE-067, 1, 193.81 
2025-02-07, 1, LVD-333, 14, 438.04 
2025-01-31, 27, IHD-716, , 626.47 
2025-02-01, 11, FMX-861, 35, 737.44 
2025-02-27, 20, DSE-274, 24, REVENUE_ERROR 
2025-01-26, 25, PRODUCT_ERROR, 32, 153.1 
2025-02-06, 36, TOE-945, QUANTITY_ERROR, 501.18 
2025-01-19, 62, JLR-279, 26, 493.83 
2025-01-18, 90, HZH-154, 43, 551.65 
2025-03-05, 94, QUZ-276, 39, 677.58 
2025-01-21, 90, NYU-283, None, None 
2025-03-30, 20, FFU-204, 28, 294.25 
2025-02-13, 33, KWV-787, None, 92.61 
2025-02-01, 20, GSD-981, 15, 984.52 
2025-01-24, 69, QMM-168, 14, 408.11 
2025-02-04, 8, YGD-488, 25, 63.66 
2025-02-12, None, XUT-010, 1, 321.19 
2025-03-20, 20, JOA-988, 9, 337.81 
2025-01-15, , None, 40, 185.26 
2025-02-28, , , 5, 192.06 
2025-03-25, 10, PGQ-360, 10, 781.66 
2025-02-19, None, MVU-095, 29, 267.72 
DATE_ERROR, 38, JED-659, 32, 160.58 
2025-02-21, 81, JDV-360, 21, None 
2025-03-26, 76, DAU-082, 42, 248.92 
2025-02-03, 29, PRODUCT_ERROR, 25, 771.26 
2025-01-12, 90, VMP-840, 19, None 
2025-03-17, 56, EDG-380, 26, 758.0 
2025-02-01, 49, REA-421, , 411.46 
2025-03-10, 43, PRODUCT_ERROR, 34, 121.56 
2025-02-16, 69, ZQA-834, 3, 367.2 
2025-03-18, 86, PSU-563, 14, 457.81 
2025-02-20, 39, PWA-093, QUANTITY_ERROR, 400.8 
2025-03-04, STORE_ERROR, OMP-329, QUANTITY_ERROR, REVENUE_ERROR 
2025-03-16, 81, None, 25, 272.59 
2025-01-19, 60, HQW-747, , 205.48 
2025-01-01, 23, YOT-024, 41, REVENUE_ERROR 
2025-03-02, 79, None, 44, 906.03 
2025-03-25, 92, IYU-594, 16, 897.16 
2025-01-24, 84, XEV-114, 40, 699.78 
2025-02-25, 31, YLE-435, 36, 484.09 
2025-01-24, 30, GHI-765, 29, 844.55 
, 99, ZRP-477, None, 391.18 
2025-02-15, 21, None, 33, 803.78 
2025-03-29, 31, JIX-675, 40, 665.33 
2025-03-27, 41, None, 32, 753.59 
2025-01-25, 80, SCM-762, 42, 446.65 
2025-03-01, 78, None, 45, 748.85 
2025-02-10, 56, IQV-971, 25, 451.14 
, 97, GGG-534, 39, 342.61 
2025-01-13, STORE_ERROR, GCF-764, 38, 246.05 
2025-03-17, 5, PRODUCT_ERROR, 36, REVENUE_ERROR 
2025-01-03, 58, SVU-215, 38, 545.98 
2025-03-06, None, WFV-420, 26, 125.03 
2025-02-27, 5, TFD-141, 31, 952.93 
2025-03-02, 93, JCY-513, 42, 556.28 
2025-03-03, 57, QPR-523, 3, 613.35 
2025-02-22, 22, RJP-124, 2, 749.52 
2025-02-17, 47, VPX-935, 47, 212.88 
2025-01-10, 3, None, 4, 927.38 
2025-02-04, 50, HKD-312, 8, 999.45 
2025-02-15, 57, ACC-074, 46, 665.12 
2025-03-31, 39, HQD-488, QUANTITY_ERROR, 111.05 
2025-01-07, 70, ROZ-156, 41, 649.06 
2025-03-01, 23, XAS-925, 7, 739.59 
2025-02-23, 51, BUJ-323, 50, 876.6 
DATE_ERROR, 87, XFD-145, 7, 210.3 
2025-03-30, 67, YXP-822, 32, 92.14 
2025-01-09, 71, None, 49, 589.82 
2025-02-10, None, JTA-831, 42, 47.23 
2025-01-17, 30, BHS-188, 27, 762.22 
2025-03-07, 96, PRODUCT_ERROR, 2, 24.69 
2025-01-25, 89, VRE-261, 10, REVENUE_ERROR 
2025-01-08, 53, MHE-607, 48, 259.32 
2025-01-13, 41, XYT-871, 48, 281.01 
, 99, None, 29, 649.77 
2025-01-01, STORE_ERROR, ASK-835, QUANTITY_ERROR, 996.22 
2025-01-29, 62, ZRZ-424, 41, 719.94 
2025-03-27, 3, PRODUCT_ERROR, 15, 311.28 
2025-02-04, 40, ZMS-778, 2, 912.18 
None, 46, OVW-467, , 15.89 
None, 47, EPD-309, 18, 548.88 
2025-03-17, 67, DKA-193, 49, 97.23 
2025-01-18, 79, , 12, 471.66 
2025-01-20, 85, FYI-458, 24, 37.54 
2025-02-04, 69, ZEJ-636, , 664.92 
2025-03-02, 58, NBQ-635, 13, 900.29 
2025-02-09, 14, VXZ-483, 36, 429.56 
2025-02-12, 89, TSS-813, 41, 280.26 
2025-01-13, 14, TFQ-585, 14, 609.46 
DATE_ERROR, 34, UWD-172, QUANTITY_ERROR, None 
2025-02-13, 7, EBR-709, 33, 503.94 
2025-02-11, 73, JVX-701, 50,  
2025-02-23, 84, VAS-243, 9, 34.25 
2025-03-27, 29, WAX-341, 5, 999.38 
2025-03-05, 58, QLQ-785, 23, 698.55 
2025-03-23, 68, WTT-624, 47, 671.66 
2025-01-10, 20, SCI-939, 47, 65.4 
2025-02-21, 38, EXN-865, 8, 633.9 
2025-03-12, None, TIQ-790, 44, 715.89 
, 12, FDL-632, 23, 492.2 
2025-02-16, 81, CRK-258, 42, 249.72 
2025-03-14, 96, ZOF-366, 44, 980.2 
2025-03-08, 10, MVM-701, 1,  
2025-02-12, 41, OPV-925, 1, 455.84 
, 31, KYP-891, 45, 412.03 
2025-02-11, 67, LHN-224, None, 741.5 
2025-03-28, 61, JBG-585, 33, 653.76 
2025-01-05, , GTF-801, 26, 923.61 
, 9, TKM-935, 3, None 
2025-03-27, 31, FDT-897, 48, 155.59 
2025-03-07, 79, None, 33,  
2025-02-18, 45, OUF-912, 45, 905.6 
2025-01-26, None, FIG-604, 26, 452.33 
2025-01-03, 47, ESI-658, 38, 389.12 
2025-01-13, , OFL-582, 49, 817.48 
None, 96, ONH-039, 21, None 
2025-03-11, 97, MFR-404, 15, 959.97 
2025-02-15, 65, NFJ-487, 40, 184.25 
2025-02-14, , MIP-513, 34, 141.35 
2025-01-28, 6, TKC-928, 48, 446.81 
2025-01-03, 23, PAQ-036, 24, 914.6 
2025-03-15, 3, ERG-100, 50, None 
2025-03-08, 77, RGV-106, 16, 776.07 
2025-02-07, 29, LUN-185, 40, 340.84 
2025-03-30, STORE_ERROR, TQJ-762, , 900.18 
2025-04-01, None, ZQK-944, 13, 402.18 
, 4, GZF-070, 15, 566.71 
2025-02-12, 81, VXD-678, 2, 356.96 
2025-01-08, 29, GMN-205, 40, 623.74 
2025-03-09, 67, AJV-431, 29, 678.81 
2025-01-27, 81, WOC-097, 22, 332.16 
2025-03-06, 19, XON-453, 19, 282.16 
2025-03-20, None, LMO-240, 50, 341.13 
2025-02-06, 13, DWB-175, 29, 586.4 
2025-03-26, 15, BAJ-584, 29, 224.55 
2025-01-25, 21, SUA-186, 1, 640.78 
2025-02-09, 88, WJQ-857, 5, 678.19 
2025-03-21, 65, AAH-814, 49, 590.59 
2025-01-13, 89, FZI-333, 22, 71.83 
2025-01-17, 9, WBQ-085, 46, 248.32 
2025-03-28, 27, NVC-845, None, 696.31 
2025-03-05, 93, NFC-108, 41, 885.49 
2025-02-26, 92, OUL-600, 29, 103.95 
2025-01-03, 19, IKG-574, 50, 183.08 
2025-03-08, 33, VPM-676, 35, 876.23 
2025-03-23, 6, HXC-756, 1, 197.46 
2025-03-29, 87, OTD-971, 36, 847.51 
2025-03-13, 81, YXY-212, 38, 916.02 
2025-03-21, 16, MOP-594, None, 596.19 
2025-03-23, 52, GZH-837, None, 327.47 
2025-03-17, 14, RKP-827, 2, REVENUE_ERROR 
2025-02-17, 64, LKJ-832, 19, 33.92 
2025-02-15, 76, EFE-449, 28, 222.44 
2025-01-28, 38, LVF-323, 5, 616.44 
2025-01-04, 47, OXQ-230, 16, 472.25 
2025-03-08, 90, XYK-503, 29, 261.92 
2025-03-03, 22, NQT-874, 4, REVENUE_ERROR 
2025-01-24, 24, TVD-274, 48, 512.76 
None, 60, TKT-139, 31, REVENUE_ERROR 
2025-03-22, 81, WCW-341, 25, 485.75 
2025-01-09, 9, QXH-168, 30, None 
DATE_ERROR, None, RQO-517, 36, 50.14 
2025-01-21, 26, XCO-586, 15, 939.23 
2025-02-04, 33, NKH-284, 39, 952.58 
2025-02-10, 90, NRC-729, QUANTITY_ERROR, 875.61 
2025-03-16, 63, ZTX-611, 1, 349.92 
2025-03-02, 65, RTZ-041, 39, REVENUE_ERROR 
2025-03-27, 98, PRODUCT_ERROR, 46, REVENUE_ERROR 
None, 13, HPG-409, None, 413.61 
2025-01-24, 82, YHW-385, 5, 149.88 
2025-02-28, 2, QMI-420, 18, 819.53 
None, 28, EBI-421, 31, 766.82 
2025-02-22, 42, None, 12, 170.23 
, 5, TXK-714, 40, 963.46 
2025-01-27, 10, BZZ-088, 35, 171.19 
2025-02-21, 89, DJE-340, 30, 746.74 
2025-01-17, 23, BGU-056, None, 142.53 
2025-01-06, 39, WEP-040, 20, 430.02 
2025-02-02, 82, VIO-647, 5, 959.27 
None, 85, XWO-505, 22, 264.81 
2025-03-02, 27, BLU-423, , 825.25 
2025-01-07, 48, DDA-198, 1, 809.88 
2025-03-15, 49, JKC-687, 27, REVENUE_ERROR 
2025-03-17, STORE_ERROR, RPZ-809, 6, 677.48 
2025-03-03, 15, CZF-199, 21, 464.61 
2025-01-22, None, CCK-713, 50, 62.23 
2025-02-06, STORE_ERROR, OLD-131, 47, 427.88 
2025-01-02, STORE_ERROR, DBB-681, , 127.82 
2025-01-19, 15, BNX-865, 15, 58.14 
None, None, DMM-554, 44, 932.52 
2025-02-11, 21, MLZ-096, QUANTITY_ERROR, 52.51 
2025-01-28, 61, EVC-588, 38, 351.96 
2025-03-04, 92, CMO-896, 33, 155.26 
2025-02-20, 100, AIT-809, QUANTITY_ERROR, 904.3 
2025-01-11, STORE_ERROR, NJN-771, 22, 907.08 
2025-02-04, 61, , 11,  
2025-03-16, 76, UPU-333, None, 162.09 
2025-01-05, , NWS-079, 12, 144.78 
DATE_ERROR, 7, None, , 30.62 
DATE_ERROR, 77, YOT-257, 48, 77.77 
2025-02-11, , None, 30, 209.17 
2025-01-22, 80, JOE-590, 34, 555.39 
None, 48, MTV-156, , None 
2025-01-23, 77, EDM-279, None, 548.1 
2025-03-09, 49, ZQI-915, QUANTITY_ERROR, 129.13 
2025-02-21, , OOW-229, 8, 163.91 
2025-02-03, 96, TKT-950, 42, 617.03 
2025-01-05, 97, PRODUCT_ERROR, 38, 798.05 
2025-01-09, 96, KKK-029, 18, 877.38 
2025-03-14, 69, None, None, 533.05 
2025-03-27, 9, CMB-380, 14, 820.85 
2025-03-22, 50, HTD-566, 39, 322.4 
2025-03-16, 48, PZM-834, QUANTITY_ERROR, 85.28 
2025-03-17, 60, WCN-457, 17, 609.03 
, 7, ZRM-257, 30, 458.72 
2025-02-15, 13, PRODUCT_ERROR, 36, 710.35 
2025-02-06, 14, LEQ-089, 34, 420.13 
2025-03-18, 20, YOE-847, 21, 727.27 
2025-01-10, 64, NBI-118, 21, 560.17 
2025-01-13, 78, JQP-108, 3, REVENUE_ERROR 
2025-03-08, 91, LOK-053, 31, 169.07 
2025-01-18, , PRODUCT_ERROR, 26, 56.04 
2025-03-02, 14, BGU-947, 7, 349.16 
2025-03-09, 49, ERC-219, 18, 254.59 
2025-02-04, 74, UZF-537, 45, 458.13 
2025-02-02, 66, CBU-977, 27, 559.85 
2025-01-02, 9, YNU-364, 20, 866.9 
2025-03-10, 53, VIT-304, 30, 159.42 
2025-01-12, 52, HYH-406, QUANTITY_ERROR, 407.6 
2025-02-01, 66, ELR-947, 36, 73.37 
DATE_ERROR, 70, PRODUCT_ERROR, 34, 992.54 
2025-03-02, 11, XTN-749, , 900.28 
2025-03-22, 73, RXG-605, 8, 921.75 
2025-01-11, 96, MIK-964, 15, 893.4 
2025-02-16, 69, SRB-588, 18, 655.77 
2025-03-23, 31, OHA-574, 7, 821.95 
2025-03-29, None, JJS-897, 36, 264.21 
2025-02-27, 42, THM-246, 6, 990.02 
2025-03-03, 71, MWB-340, 37, None 
2025-01-02, 99, ZKY-368, , 971.88 
2025-03-06, 54, ILM-596, 47, 143.35 
2025-01-21, 47, YXZ-022, 9, 731.85 
DATE_ERROR, 100, OCZ-411, 17, 404.77 
2025-01-27, 1, MVK-239, QUANTITY_ERROR, 985.97 
None, 77, NHE-641, 35, 853.32 
2025-03-21, STORE_ERROR, ATC-549, 40, 321.86 
2025-03-21, STORE_ERROR, PEB-240, None, 956.33 
2025-03-15, 6, PRODUCT_ERROR, 41, 659.53 
2025-03-17, 84, None, 6, 217.82 
2025-03-14, 83, PRODUCT_ERROR, None, 993.98 
2025-01-23, 56, RWQ-095, 24, 725.3 
2025-01-20, 34, CEF-328, 37, 433.0 
, 39, PRODUCT_ERROR, 2, 657.6 
2025-02-14, , ADR-592, 28, 268.14 
2025-01-08, 13, ITG-609, 29, 28.08 
2025-02-01, 48, UJR-036, 34, 141.65 
2025-03-02, 53, AZE-297, 37, 416.2 
2025-02-02, 27, NKE-324, None, 445.15 
2025-03-23, 57, VIY-655, 7, 813.88 
2025-03-01, 75, YNM-903, 9, 547.82 
2025-01-17, None, RQW-279, 18, 39.45 
2025-03-04, STORE_ERROR, CFK-794, 30, 210.44 
2025-02-27, 33, FHX-339, 28, 494.58 
2025-01-24, STORE_ERROR, WHH-453, QUANTITY_ERROR, 451.59 
2025-01-23, 13, LSL-792, 9, 848.62 
2025-03-15, 32, XQI-584, 27, None 
2025-02-07, 63, XEZ-811, , 959.62 
2025-01-07, 33, KEW-922, 20, 901.01 
2025-03-04, STORE_ERROR, PAT-717, None, 505.4 
2025-01-06, 60, IOS-895, 15, 733.28 
2025-03-16, 55, IOS-889, 10, 203.74 
2025-03-27, 49, None, None, 960.15 
2025-02-22, 1, YGS-221, QUANTITY_ERROR, 874.63 
None, 21, TDZ-182, 45, 360.85 
2025-03-16, 64, FAQ-857, 34, 957.21 
2025-03-20, None, ACM-408, 36, 553.07 
DATE_ERROR, 46, PRODUCT_ERROR, 23,  
2025-01-28, 93, UHZ-341, 31, 135.9 
2025-03-06, 10, TSY-911, 20, 210.93 
DATE_ERROR, 28, YNB-582, None, 471.51 
2025-03-27, 23, FHG-413, 22, 194.12 
2025-03-30, 74, PRODUCT_ERROR, 48, 784.2 
2025-01-04, 38, IBR-318, 4, 91.17 
2025-01-02, 6, GKT-059, 34, REVENUE_ERROR 
2025-03-23, None, UJF-757, 27, 624.18 
2025-01-15, 53, RWV-943, 46, 154.31 
2025-01-24, 71, IIA-585, 35, 868.54 
2025-02-09, 19, JNF-691, 10, 158.24 
2025-01-13, 49, LVA-745, 9, 271.82 
2025-01-01, 15, ZIZ-249, 1, 498.35 
2025-02-09, 35, SIV-426, 32, REVENUE_ERROR 
2025-01-03, 66, ZHW-538, 9, 881.85 
2025-03-02, 35, EGU-194, 15, 495.9 
None, 34, TZZ-343, ,  
DATE_ERROR, 97, PPW-984, 36, 533.21 
2025-02-18, 1, CYF-076, 45, None 
2025-01-29, 80, None, 20, None 
2025-01-30, 56, CQO-029, 31, 412.04 
2025-03-09, 99, JAN-602, 38, 384.79 
2025-03-25, 52, LYG-396, 39, 413.8 
DATE_ERROR, 47, GSG-964, 45, 753.69 
2025-01-18, 60, VSM-498, 8, 587.98 
2025-02-18, 97, PHM-453, 4, 327.12 
2025-02-21, 40, SPN-300, 48, 133.3 
2025-03-18, 85, UNW-519, 29, 219.8 
2025-03-07, 67, SYS-314, 7, 912.18 
2025-03-02, 75, RVZ-029, 12, 475.63 
None, 31, None, 40, 885.46 
2025-02-07, 66, DWE-869, 15, 531.47 
2025-01-17, 37, XKD-160, 42, 109.46 
2025-02-09, 32, QPA-660, QUANTITY_ERROR, 26.69 
2025-02-04, 97, BOA-033, 44, 487.21 
2025-03-06, 27, XSC-039, 35, 271.46 
2025-03-17, 12, GJH-552, 37, 262.11 
DATE_ERROR, 95, PRODUCT_ERROR, 41, 965.85 
, 87, ZTF-996, 26, 379.4 
2025-01-07, 89, ZJW-255, 14, 836.53 
2025-01-06, 38, GVC-590, 34, 130.45 
2025-02-01, 90, ZSD-913, 49, 801.34 
2025-02-26, 64, XVL-294, 37, 495.08 
2025-02-28, None, IEQ-299, 34, 438.3 
2025-02-25, 50, PRODUCT_ERROR, None, 69.95 
2025-02-13, 29, EKS-816, 17, 383.77 
2025-02-07, 62, QOQ-738, 26, 585.22 
2025-01-14, 47, JCT-451, 9, 11.43 
None, 77, LXO-393, 6, 46.99 
2025-03-31, 69, WRH-353, None, 513.72 
2025-01-20, 58, EIK-848, 27, 875.98 
2025-01-23, 80, RPQ-466, 34, 971.47 
2025-03-04, 80, NVZ-607, 44, 786.73 
2025-03-02, 78, UEV-682, 44, 82.65 
2025-01-18, None, OBW-582, 41, 257.32 
2025-02-14, 30, , 17, 11.34 
2025-01-18, 23, HZN-737, 15, 230.13 
2025-03-29, 20, None, , 146.11 
2025-02-27, 69, IGN-138, QUANTITY_ERROR, 420.79 
2025-01-30, 12, OBY-187, 33, 363.91 
None, 12, SDA-986, 44, 822.07 
2025-03-27, 48, MWZ-716, 39, 512.78 
2025-03-09, 51, LOZ-943, 15, 22.89 
2025-01-25, 11, OYV-063, 48, 703.66 
2025-02-19, 11, VTL-701, 18, 534.86 
