store_id,store_name,location,demographics
1,Gonzalez-Mcgrath,86287 Hayes Ferry Apt. 948,"(18.454787,-142.739194)"
2,"Baker, Davis and Dawson",90799 Christopher Inlet Apt. 724,"(56.519890,71.708200)"
3,Christensen-Booth,33408 Theresa Throughway,"(69.094198,119.800529)"
4,Kelly-Gutierrez,1383 Suzanne Ranch,"(0.434048,-31.381956)"
5,None,44847 Zachary Corners Suite 927,"(24.123678,-170.207875)"
6,Stewart LLC,5144 Maria Drive,"(-14.4806685,-68.077842)"
7,"Banks, Cannon and Atkinson",LOCATION_ERROR,"(-16.7608915,-55.602772)"
8,Richard-Miller,617 Cox Overpass Suite 169,"(26.2429845,161.887444)"
9,"Mccoy, Tucker and Freeman",5734 Kelly Alley Apt. 850,"(25.891521,-138.853285)"
10,Smith-Smith,658 Thomas Plains Apt. 237,"(-72.506417,-45.906000)"
11,Davis-Wilson,822 Sullivan Isle Apt. 943,"(36.4303645,-135.405395)"
12,"Kirk, Walker and Bailey",8078 Roy Shores Suite 162,"(-15.817661,138.712740)"
13,"Gamble, Moore and Williams",2940 Berry Corners Suite 274,None
14,Avery LLC,98767 Villarreal Vista,None
15,Williams Group,LOCATION_ERROR,"(-80.582192,6.376909)"
16,Moody LLC,9666 Jones Rest Suite 794,"(47.644844,-109.001969)"
17,"Rivera, Sanchez and Taylor",6713 Raymond Ridge,"(-63.175127,148.537871)"
18,Obrien PLC,3434 Michael Ports Suite 929,"(-40.353286,165.758164)"
19,Reynolds-Welch,4198 Meadows Terrace Apt. 477,"(4.581743,39.694727)"
20,Payne-Jordan,31393 Robinson Expressway Suite 812,"(-16.7939395,83.016567)"
21,Nguyen LLC,19395 Krystal Shoal Suite 712,"(64.9885515,-83.200675)"
22,None,,"(75.8352015,-53.317916)"
23,Newton-Martin,2022 Mary Oval,"(50.3452615,-143.812350)"
24,"Sloan, Griffin and Sims",75475 Peter Forge Apt. 489,"(9.404468,2.920306)"
25,,LOCATION_ERROR,"(-38.965580,-121.844692)"
26,Park-Swanson,47865 Chad Union Suite 413,"(-35.2767825,109.903770)"
27,,3067 Kelly Bypass Apt. 220,"(-45.5601785,-70.936847)"
28,"Haynes, Johnson and Tran",43709 Arellano Shore Apt. 328,"(-21.285093,52.250092)"
29,Hull-Stevens,3978 Todd Spring,"(49.740130,-110.533817)"
30,Sellers and Sons,7659 Steven Inlet,"(-44.887355,-83.621597)"
31,Weaver-Cannon,01708 Bender Lake Apt. 175,"(-32.125431,122.728093)"
32,"Graham, Garcia and Barnett",None,"(-7.662595,152.108857)"
33,Serrano-Sexton,299 Tate Corners Suite 388,"(-48.9336975,84.878720)"
34,"Gray, Phillips and Hall",436 Cordova Lane Apt. 689,"(-81.4117275,-120.468176)"
35,Fletcher-Glenn,None,"(-8.8310875,-109.170139)"
36,Shaffer Group,93961 Barbara Views Apt. 541,"(32.497789,160.766198)"
37,Ward PLC,75098 Jessica Brooks,"(-82.317113,-63.498118)"
38,Evans LLC,3692 Philip Square,"(-13.5760755,94.365445)"
39,Sanchez-Knight,133 Jared Hills,"(-61.4242965,79.575903)"
40,,78148 Miller View,"(-50.007105,-9.658279)"
41,"Schultz, Harris and Fisher",675 Michael Shoal Suite 722,"(-57.935974,-135.482484)"
42,"Howard, White and Ingram",LOCATION_ERROR,"(-83.260196,46.752119)"
43,"Mcdonald, Floyd and Green",2596 Fields Stream Suite 734,"(-79.2153905,86.830386)"
44,Meadows Group,7546 Watson Circle Apt. 760,"(-72.289217,30.176709)"
45,STORE_ERROR,975 Janet Summit,"(-45.5773185,102.422172)"
46,"Williams, Cole and Blanchard",9437 Michelle Springs Apt. 575,"(-2.4655935,-47.882396)"
47,Macdonald-Martinez,83017 Sabrina Highway Suite 504,"(-58.4962465,-165.632038)"
48,"Chandler, Le and Kim",09692 Hailey Avenue,"(5.666953,49.608814)"
