Date,Store ID,Product ID,Quantity Sold,Revenue
2013-07-07,4,iV-10433,7,446.63
1976-12-22,4,bf-81960,36,326.69
1984-11-17,76,mT-38908,11,173.42
2014-03-23,44,rZ-86379,23,404.53
1970-06-11,49,nW-26542,24,
1992-11-27,38,wM-11615,25,319.66
1988-01-01,27,fJ-07816,5,89.71
1989-12-13,49,cQ-95931,15,422.21
1985-07-05,5,rD-41316,37,160.77
2013-04-05,83,Qr-52553,36,374.77
2017-10-04,47,kD-19283,6,431.25
1995-10-28,88,oc-48350,30,485.68
,93,KT-56413,50,60.22
1991-06-01,93,qi-37672,12,57.67
1986-10-13,65,Lz-88496,35,461.6
1994-08-20,,Wd-32871,20,124.23
1977-06-18,94,yy-22691,50,331.58
2010-07-20,68,RU-78480,35,346.48
1977-10-18,86,Bk-84514,8,
2000-11-16,76,gO-04828,15,20.55
1990-04-23,36,Wk-89325,37,125.28
2006-09-15,13,bh-80957,30,31.81
1994-09-13,8,ff-43039,16,270.46
2019-10-22,60,QE-71822,36,327.81
,12,nI-24896,32,433.0
2021-05-25,1,HC-34657,30,349.81
1978-03-27,85,LJ-33150,4,273.39
1985-08-29,75,oe-93010,4,44.66
1972-02-20,87,QF-51834,37,299.29
1984-07-30,75,pY-82997,43,123.15
2002-03-09,39,wB-63116,1,499.23
1997-12-23,28,Uv-70106,5,187.92
2024-06-24,91,Ci-13338,,409.47
1998-09-16,18,CZ-24731,10,304.39
2007-06-14,82,Wp-10801,4,214.67
,99,dk-67736,29,
1995-10-16,89,BS-06474,38,
2019-09-17,6,nd-87234,7,282.14
2009-05-31,96,LE-80500,12,17.27
2004-03-21,53,le-82081,18,352.13
,61,pL-13619,20,436.3
2010-06-16,52,KH-09169,18,257.16
1991-07-13,43,zi-43534,12,
2015-09-16,45,DN-47510,33,450.25
,,qi-11838,47,369.83
1993-10-01,86,CI-13542,8,153.66
2017-11-16,52,tQ-49808,43,340.27
1977-01-18,39,jr-24118,14,292.09
1989-03-05,57,GF-93534,48,46.97
1987-02-02,43,av-01640,20,
2022-06-23,61,TB-24278,41,360.58
2008-03-03,19,act,50,390.32
1977-08-12,90,LJ-12805,8,401.7
1980-01-29,77,Yc-62045,47,216.24
1994-05-08,21,AN-33158,16,142.27
2021-01-01,31,bl-23226,18,447.05
2020-02-15,50,YS-56342,27,235.63
1977-05-10,50,Dw-60733,49,241.1
1990-10-08,50,vr-33036,48,400.93
1974-09-22,35,vb-45868,44,363.47
1977-11-06,80,gM-42940,,323.16
1999-07-29,7,hy-55698,22,192.67
2009-03-28,33,HZ-34060,4,178.23
2006-08-23,,Nu-35615,2,123.08
2015-02-22,28,uz-14846,39,375.22
2017-06-12,40,Qy-48236,44,190.78
2016-02-03,76,Ja-29946,50,343.71
1990-09-05,73,Pu-43699,24,
2001-08-23,63,YY-77387,30,220.57
2020-01-31,35,vf-21489,30,366.86
2021-02-11,12,bc-34332,37,
1986-08-30,24,OK-79176,18,352.09
,25,PS-67632,49,240.67
1970-05-18,3,Dd-16328,20,187.67
2007-12-07,96,QH-31727,20,64.72
2008-01-14,69,BJ-95798,48,363.67
2000-05-06,37,Or-27743,24,12.0
2022-02-11,7,eT-87347,49,437.0
1989-06-11,57,fi-34558,31,37.35
1980-04-06,88,AA-36231,20,127.85
1992-07-08,77,Ay-87603,29,152.19
2022-05-21,73,aw-90967,49,109.46
1990-04-28,23,oF-66889,45,149.17
1984-12-06,90,vQ-46706,17,314.4
2016-03-20,55,Ib-62729,18,40.35
1996-10-24,96,iD-99016,30,351.37
1982-05-14,64,Du-04653,48,128.93
1992-12-19,74,Eb-64641,18,382.74
2020-12-21,57,XP-80531,41,484.68
1972-09-27,42,jp-03309,45,332.98
1978-08-04,5,Sq-71937,50,259.73
2022-03-10,70,Xk-52991,40,314.58
1991-03-02,71,Ry-19049,32,486.71
1996-12-28,21,year,15,456.9
2018-08-28,20,SX-31931,18,243.84
1990-07-10,19,IB-91905,9,141.74
2015-01-07,65,hospital,38,331.67
1974-09-10,62,gB-85067,30,435.45
1994-08-25,50,,48,457.15
2011-11-30,84,,33,169.34
1986-09-15,13,KN-14737,27,485.13
2015-06-21,34,lF-65075,22,430.37
1984-06-08,92,Sr-54549,40,317.42
2007-10-28,96,UA-08313,46,224.62
2003-04-01,6,Yb-83777,28,267.93
1976-05-01,22,QL-43634,44,456.85
1995-02-11,33,VJ-78856,30,340.42
1992-07-05,45,oh-57444,45,423.43
2019-01-31,62,mn-35182,19,151.14
2020-04-06,,sg-74989,4,373.86
1983-03-18,100,aT-43524,41,129.06
2006-05-07,88,sS-24008,,
1978-08-05,17,EE-71094,12,394.32
1999-12-22,65,he-52047,31,151.1
1997-04-08,60,jZ-71902,44,490.07
2008-04-20,47,WA-41318,8,338.05
2011-04-06,82,CC-99386,2,471.87
1990-03-27,83,dN-96499,20,
,64,kp-13341,25,336.89
1981-10-30,54,CS-81206,42,247.23
2010-05-30,5,Ts-74034,16,54.18
2017-11-02,83,QZ-71349,8,412.97
1983-06-18,82,rj-61832,16,394.55
1974-11-10,71,sC-02499,22,395.38
1978-06-18,19,IF-74648,8,
1999-10-16,31,be,9,265.41
2010-09-12,100,bf-06594,15,26.47
1985-07-30,67,,31,216.01
2021-06-19,57,lL-27874,5,314.04
1999-08-30,49,vu-71756,39,397.58
2015-08-09,99,sQ-12567,15,414.57
1997-04-02,41,qu-80715,10,239.76
1977-11-21,56,Ad-68087,36,478.53
1982-10-07,53,Wd-85977,47,147.38
1983-11-08,65,SF-48247,7,280.35
1978-04-07,29,Ja-09324,40,
2007-08-01,89,hP-61317,20,178.76
1980-06-23,85,EE-74846,2,267.59
1986-08-02,21,MG-78263,37,442.25
2020-10-14,7,YG-21465,32,210.02
1988-03-07,45,QF-04499,32,157.67
1980-02-11,,JW-78755,9,148.28
2006-12-25,56,Ky-67533,33,335.68
1985-11-23,,total,21,288.83
2022-10-11,15,yQ-60576,40,346.36
2023-12-04,14,Lv-27028,26,374.17
1976-10-30,10,Uj-71870,50,365.05
1997-11-25,31,NS-21745,10,329.48
1997-01-18,64,OT-15865,44,284.42
2021-09-05,81,pO-78091,41,140.96
2016-07-28,40,WO-43161,19,432.8
2017-11-25,65,cu-17240,48,227.62
2024-03-06,42,jp-04556,29,450.07
2006-02-23,65,fN-69222,29,306.85
1996-01-13,50,oD-93792,41,37.63
2013-05-30,37,sR-47407,39,170.01
2007-03-13,45,tO-21759,9,469.31
1998-11-16,43,Eg-47436,48,456.66
1986-02-21,66,Ss-69594,14,384.25
1971-06-30,20,MV-64090,50,370.63
2003-10-21,99,Om-43953,12,386.69
2012-04-02,,YC-42104,29,377.43
1972-04-09,31,uV-95214,13,473.83
1998-04-11,37,HG-23285,11,401.62
1988-07-18,83,Zh-24745,46,426.33
2001-11-14,35,xf-12368,6,114.91
2023-10-22,4,Dx-60481,25,
2015-10-15,92,Ro-49651,19,238.87
2002-01-31,61,ago,17,79.01
2012-02-28,55,OD-85931,4,321.28
2017-09-16,64,five,16,
2014-03-07,74,tF-61200,24,265.4
1977-11-26,,,25,
2015-08-18,45,Pg-86926,38,
2003-04-20,83,nC-96405,45,95.23
2000-04-05,,Pw-35158,3,158.49
1974-02-13,61,fQ-64317,23,28.66
1984-06-07,48,iY-90053,25,97.47
2008-06-02,67,no-31839,28,412.06
1992-05-11,11,iI-29042,46,346.43
,46,wY-21020,4,320.57
2023-08-27,87,qd-39502,44,22.23
1978-08-17,47,,10,474.67
1994-08-21,74,oN-89178,18,61.16
1972-12-13,50,Ez-84700,46,498.2
1999-01-04,63,uM-17711,12,225.33
1980-02-04,41,JT-12499,19,426.42
1992-02-17,82,GM-69847,13,122.18
1999-04-11,74,Co-11836,40,37.55
1998-02-28,62,uB-57661,5,161.93
1991-04-08,67,ff-45271,41,385.05
1976-05-06,8,dL-61528,11,356.12
2008-03-20,37,QW-85165,36,314.39
1998-10-13,83,gK-04945,43,451.49
2004-07-12,6,,42,136.0
1995-01-05,80,JX-14936,19,154.54
2012-04-23,52,bl-98094,29,234.9
1988-08-06,92,jK-45502,26,188.42
2014-09-25,60,VH-61201,4,195.15
1984-08-22,21,xt-66752,13,251.64
2019-02-08,40,jk-59910,30,111.5
2021-05-04,64,QB-90147,19,424.35
2003-01-19,94,,4,101.35
1977-09-29,65,FH-56149,40,63.81
2015-05-26,44,da-40369,39,
1983-11-29,43,uh-43244,33,466.03
1970-07-12,79,IT-76226,33,355.83
1985-08-29,48,Vc-88516,20,364.04
,61,BK-07159,38,362.09
1997-07-09,81,uk-64160,44,288.42
2024-07-12,57,gp-97516,27,307.68
1999-08-25,94,tV-96816,21,241.79
1993-02-07,59,Oh-35218,50,341.97
2006-02-09,62,pg-83552,15,491.22
1979-12-19,89,WW-43292,47,65.33
2014-08-10,51,WL-12779,,477.88
