Date;Home shots;Away shots;Home shots on target;Away shots on target;Home fouls committed;Away fouls committed;Home corners;Away corners;Home yellow cards;Away yellow cards;Home red cards;Away red cards;Home Turnover (£m);Home Gate and Matchday income (£m);Home TV and Broadcasting (£m);Home Commercial income (£m);Away Turnover (£m);Away Gate and Matchday income (£m);Away TV and Broadcasting (£m);Away Commercial income (£m);Winner;Date.year;Date.month;Date.day-of-month;Date.day-of-week;Winner_1;;
13/08/2011;13;13;7;7;9;16;3;2;1;2;1;0;64;;;;65;8;43;;Away;2011;8;13;6;Home;;31
27/08/2011;14;9;6;4;17;13;5;4;5;2;0;0;54;6;42;9;81;17;53;11;Away;2011;8;27;6;Away;1;40,78947368
27/08/2011;17;7;9;4;5;7;12;6;0;2;0;0;169;42;63;64;65;8;43;;Home;2011;8;27;6;Home;1;
27/08/2011;15;12;6;8;7;10;7;4;1;1;0;0;65;;;4;78;14;47;8;Draw;2011;8;27;6;Home;;
17/09/2011;10;24;5;16;14;9;2;13;2;1;0;0;54;6;42;9;245;95;85;34;Home;2011;9;17;6;Away;;
17/09/2011;7;11;7;5;8;8;6;9;3;1;1;0;65;8;43;;75;11;50;14;Away;2011;9;17;6;Draw;;
24/09/2011;18;7;8;3;9;13;7;5;1;5;0;0;231;22;88;121;81;17;53;11;Home;2011;9;24;6;Home;1;
01/10/2011;12;7;7;3;9;13;7;4;2;0;0;0;78;14;47;8;67;8;50;9;Draw;2011;10;1;6;Home;;
02/10/2011;16;13;8;7;11;8;9;7;2;1;0;0;144;21;59;9;245;95;85;34;Home;2011;10;2;7;Draw;;
15/10/2011;15;12;8;4;6;5;4;4;0;1;0;0;75;11;50;14;65;;;4;Home;2011;10;15;6;Home;1;
15/10/2011;13;14;9;11;16;14;5;4;4;4;0;0;53;4;46;;65;8;43;;Away;2011;10;15;6;Home;;
16/10/2011;12;11;7;8;11;15;5;2;1;2;0;0;93;24;56;14;144;21;59;9;Draw;2011;10;16;7;Home;;
23/10/2011;15;11;8;7;12;8;5;1;3;1;0;0;79;11;51;;81;17;53;11;Away;2011;10;23;7;Home;;
29/10/2011;12;13;10;8;7;18;3;2;2;3;0;0;261;78;113;70;245;95;85;34;Away;2011;10;29;6;Home;;
29/10/2011;18;7;11;6;12;8;4;1;3;0;0;0;81;17;53;11;320;99;104;118;Away;2011;10;29;6;Away;1;
29/10/2011;20;8;12;3;9;14;10;2;3;4;0;1;65;;;4;65;8;43;;Home;2011;10;29;6;Home;1;
05/11/2011;12;9;7;4;12;12;4;1;0;0;0;0;245;95;85;34;67;8;50;9;Home;2011;11;5;6;Home;1;
05/11/2011;13;12;8;8;12;10;5;8;4;2;0;0;54;6;42;9;261;78;113;70;Away;2011;11;5;6;Away;1;
05/11/2011;10;14;6;6;12;15;5;3;2;3;0;0;93;24;56;14;81;17;53;11;Home;2011;11;5;6;Draw;;
19/11/2011;13;13;8;9;8;12;6;7;1;1;0;0;78;14;47;8;79;11;51;;Draw;2011;11;19;6;Home;;
20/11/2011;18;9;5;3;13;11;6;5;3;2;0;0;261;78;113;70;169;42;63;64;Away;2011;11;20;7;Home;;
27/11/2011;17;7;9;3;11;13;8;5;1;4;0;1;169;42;63;64;231;22;88;121;Draw;2011;11;27;7;Home;;
10/12/2011;17;17;12;11;10;7;6;10;1;2;0;0;65;8;43;;80;20;47;14;Away;2011;12;10;6;Away;1;
11/12/2011;10;15;7;12;8;7;7;12;2;2;0;1;71;8;46;;144;21;59;9;Home;2011;12;11;7;Draw;;
17/12/2011;17;3;6;0;11;11;9;1;1;1;0;0;93;24;56;14;65;;;4;Draw;2011;12;17;6;Home;;
18/12/2011;16;19;8;12;5;14;4;10;1;2;0;0;80;20;47;14;169;42;63;64;Away;2011;12;18;7;Draw;;
21/12/2011;17;17;9;13;10;11;8;11;2;2;0;0;64;;;;78;14;47;8;Away;2011;12;21;3;Home;;
27/12/2011;23;6;17;4;3;12;13;3;2;3;0;1;245;95;85;34;60;8;42;5;Draw;2011;12;27;2;Home;;
27/12/2011;8;19;4;8;7;6;3;10;1;1;0;0;75;11;50;14;144;21;59;9;Away;2011;12;27;2;Draw;;
27/12/2011;7;12;4;7;9;12;5;11;1;3;0;0;65;;;4;64;;;;Draw;2011;12;27;2;Home;;
02/01/2012;14;8;7;3;8;7;8;3;2;1;0;0;54;6;42;9;71;8;46;;Away;2012;1;2;1;Away;1;
02/01/2012;9;15;5;10;9;10;0;5;3;2;0;0;60;8;42;5;261;78;113;70;Away;2012;1;2;1;Away;1;
03/01/2012;10;18;8;10;13;7;5;6;1;2;1;0;231;22;88;121;169;42;63;64;Home;2012;1;3;2;Away;;
04/01/2012;10;12;4;7;7;11;5;10;1;3;0;0;81;17;53;11;65;8;43;;Away;2012;1;4;3;Home;;
14/01/2012;15;17;11;7;14;11;0;9;1;1;1;0;54;6;42;9;79;11;51;;Home;2012;1;14;6;Home;1;
14/01/2012;19;11;9;5;7;7;11;3;0;1;0;0;320;99;104;118;65;8;43;;Home;2012;1;14;6;Draw;;
