Título,Enlace,Contenido
"El PSOE cierra filas con Sánchez, ovacionado en el Congreso del PSOE para ser ratificado secretario general: ""Lo mejor está por venir""",https://www.20minutos.es/noticia/5659464/0/psoe-cierra-filas-con-sanchez-ovacionado-congreso-psoe-para-ser-ratificado-como-secretario-general/,"El presidente del Gobierno, Pedro Sánchez, ha llegado en torno a las 11.00 horas de este sábado al Palacio de Congresos de Sevilla para participar en el arranque del 41º Congreso Federal del PSOE, en el que será ratificado como secretario general, aunque no está previsto que intervenga hasta este domingo cuando se oficialice la nueva dirección del partido. Sánchez ha realizado su entrada en el auditorio principal del Palacio de Congresos de Sevilla este sábado entre aplausos y vítores de los militantes y los delegados territoriales del partido que se encuentran en este evento que elegirá la nueva Ejecutiva socialista. En concreto, Sánchez ha acudido para escuchar la inauguración de este 41º Congreso del PSOE que corre a cuenta del secretario de Organización socialista, Santos Cerdán , que presentará el informe de Balance de Gestión y se elegirá la Comisión Electoral. Susana Díaz pide un PSOE en Andalucía ""respirable"" y donde se pueda opinar ""sin que te caiga una manta de palos"" Aunque no ha tomado palabra, Sánchez sí se ha referido en las redes sociales a lo que se espera de su partido. Así, ha asegurado que los socialistas asisten a esta cita congresual con ""más ganas, fuerza a ilusión que nunca"". ""Un fin de semana de reflexión sobre los grandes retos que tenemos por delante. Lo mejor está por venir"", ha aseverado. Para ello ha subrayado que lo que tiene que hacer su formación política es seguir avanzando ""por responsabilidad, por esperanza, por la izquierda"". Además, ha tenido un recuerdo para la situación que se sigue viviendo en la Comunidad Valenciana tras la DANA del pasado 29 de octubre al asegurar que los socialistas asisten a este congreso de Sevilla ""con el corazón en Valencia"". Durante la jornada de este sábado se irán celebrando distintos paneles con la participación de ministros y se desarollarán las comisiones que perfilarán la ponencia marco que finalmente saldrá de este 41º Congreso socialista."
"Congreso del PSOE, en directo | Líderes del PSOE, molestos ante preguntas sobre el correo del novio de Ayuso, la foto de Aldama y el hermano de Sánchez",https://www.20minutos.es/noticia/5659039/0/directo-declaracion-juan-lobato-congreso-psoe-comision-caso-koldo/,"El ministro de Política Territorial, Ángel Víctor Torres , se ha referido a su llegada al Congreso Federal del PSOE , que celebra este sábado su segunda jornada, a la fotografía de Víctor de Aldama , presunto comisionista de la trama Koldo, en la sede de Ferraz durante las elecciones de 2019 . Los socialistas reconocieron este viernes que estuvo ahí, y Torres ha tratado de quitar importancia este sábado en declaraciones a los medios. ""Una foto es lo que es. Lo relevante es lo que hay en medio , si ha habido reuniones, si no ha habido, de qué se habló, con qué intención se produjeron los encuentros... El señor Feijóo tiene una foto que también lo acompaña, pero yo no lo voy a igualar. Una foto es una foto, no hay más"", ha dicho. Por su parte, el ministro de Transformación Digital, Óscar López , ha sido preguntado por las filtraciones de documentos relacionados con el novio de la presidenta de la Comunidad de Madrid, Isabel Díaz Ayuso, que han terminado con la dimisión de Juan Lobato como secretario general del PSM. López ha calificado esta situación de ""paradójica"" y ha pedido investigar ""todas las filtraciones, también las que se hacen todos los días contra Begoña Gómez o contra el hermano del presidente"". Según Óscar López, cuando su jefa de gabinete, Pilar Sánchez Acera, se escribió por Whatsapp con Lobato para que mostrara el documento en la Asamblea de Madrid, ""está al menos en cuatro medios de comunicación que se hacen eco de la información, citan el documento literal"". Las investigaciones judiciales que salpican a David Sánchez , hermano del presidente del Gobierno, también han planeado sobre el cónclave socialista. El secretario general del PSOE extremeño, Miguel Ángel Gallardo , investigado en esta causa, se ha defendido al tachar de ""bulos"" y ""desinformaciones"" por parte de la ultraderecha, que busca un ""linchamiento"". NOTICIAS DESTACADAS Unas imágenes en exclusiva demuestran que Aldama estuvo en Ferraz en las elecciones de 2019... ... y fuentes del PSOE lo reconocen: ""Sí, sí estaba ahí, ¿y qué?"". García-Page, tras declarar Lobato por los correos del novio de Ayuso, advierte de que ""ninguna militancia obliga a ser cómplice"". El PP ve en los WhatsApp entre Lobato y la asesora de Moncloa la ""evidencia"" de que Sánchez está detrás de la filtración. Agrupaciones del PSOE proponen expulsar a los afiliados que ""demanden prostitución"" . Placeholder mam module Congreso del PSOE, en directo"
"El destino turístico español que recomiendan en Reino Unido para vivir ""una Navidad gloriosa y soleada""",https://www.20minutos.es/noticia/5659328/0/destino-turistico-espanol-recomiendan-reino-unido-vivir-navidad-gloriosa-soleada/,"La Navidad es uno de los momentos del año en el que muchos aprovechan para realizar una escapada a un destino y disfrutar de las luces y los mercadillos típicos. En el Reino Unido , la prensa local ha puesto la mirada en España y, concretamente, en un lugar muy visitado por sus ciudadanos en el que se prevé un día de Navidad ""glorioso y soleado"": Palma de Mallorca . El diario The Express ha resaltado que esta isla española es ""muy querida por los turistas británicos"" debido, en parte, al buen tiempo. Según destacan, las temperaturas durante los días centrales de la Navidad se prevén unos 10 grados más cálidas en Mallorca que en el Reino Unido. ""El día de Navidad no solo se asará pavo, ya que se pronostican temperaturas máximas de 17ºC "", indican sobre la previsión meteorológica para Palma de Mallorca. Qué es el 'síndrome del turista' y por qué es peligroso que te pueda afectar en tus vacaciones El medio británico destaca de la capital balear que encendió sus luces navideñas el fin de semana pasado en una fiesta con música, cuentacuentos, teatro y acrobacias, y pone en valor su mercado navideño en la Plaza Mayor, ""que permanecerá abierto hasta el 7 de enero"", recogen. Además, invita a los ciudadanos británicos a hacer una escapada a esta isla española en Navidad, ya que ""un número récord de hoteles permanecerán abiertos en Mallorca durante las fiestas"". El tiempo acompañará, según recoge el servicio de meteorología Accuweather, que prevé una temperatura máxima de 16 °C en Palma para el día de Navidad y el tiempo será ""mayormente soleado"" con vientos suaves. Este pronóstico contrasta con el que recoge la agencia meteorológica británica para el Reino Unido, ""una Navidad húmeda"", con temperaturas medias de unos 7ºC. The Express también recuerda que la Navidad en España abarca más tiempo que en Reino Unido, ya que dura hasta el 6 de enero, día de Reyes, por lo que habrá más días para disfrutarla. ""En los pueblos y ciudades de Mallorca habrá desfiles de Reyes Magos en vísperas de la Epifanía. En Palma habrá una procesión gigante con 13 carrozas y 41 grupos de baile"", subrayan."
"Comprobar Lotería Nacional: resultados de hoy, sábado 30 de noviembre de 2024",https://www.20minutos.es/noticia/5659465/0/comprobar-loteria-nacional-resultados-hoy-sabado-30-noviembre-2024/,"Los resultados de la Lotería Nacional del sábado 30 de noviembre de 2024 se conocerán a partir de las 13:30h. Puedes consultar todos los resultados en la web de 20minutos.es . El sorteo de la Lotería Nacional tiene lugar, como todos los años desde 1814 , gracias al compromiso de Loterías y Apuestas del Estado (LAE). Es uno de los juegos de azar que mejor acogida tienen en España. Se puede conseguir un décimo por 3 euros en el sorteo del jueves. Los sábados ordinarios el precio se incrementa hasta los 6 euros; los sábados especiales se cobra a 12 euros y hasta 15 o 20 los sorteos extraordinarios. En la sección de Loterías de 20minutos.es se pueden comprobar los números premiados en loterías de toda la semana."
El dinero que Juan Lobato continuará recibiendo tras renunciar a liderar el PSOE de Madrid,https://www.20minutos.es/lainformacion/economia-y-finanzas/dinero-juan-lobato-continuara-recibiendo-renunciar-lider-psoe-madrid-5658464/,"Juan Lobato, hasta hace unos días líder del PSOE de Madrid , continuará cobrando su sueldo de senador. El político ha decidido renunciar a su puesto en el partido socialista madrileño, tras las presiones recibidas en los últimos días, pero no ha entregado su acta como senador por lo que la remuneración correspondiente a este cargo seguirá llegando mensualmente a su cuenta bancaria. Ha sido el miércoles 27 de noviembre cuando Lobato ha hecho pública mediante una carta su decisión en firme de renunciar a seguir como secretario general de su partido en esta comunidad. El político explica en el texto emitido que esta decisión la ha tomado ""para poner freno a una situación de enfrentamiento y división grave que se estaba generando en el partido"". En los últimos días, eran muchas las peticiones de dimisión que se habían extendido en el seno del partido socialista. Finalmente, Lobato ha decidido hacerse a un lado. La difícil situación del político Juan Lobato en en el PSOE comenzó el pasado domingo 24 de noviembre por la noche, cuando 'ABC' publicó que había acudido a un notario para levantar acta de una conversación de Whatsapp con su compañera Pilar Sánchez Acera en la que se intercambiaron el correo electrónico en el que la defensa de Alberto González Amador , novio de Isabel Díaz Ayuso , negociaba un pacto con la Fiscalía por la presunta comisión de varios delitos fiscales. La información publicada suscitó un huracán que revolvió al PSOE haciendo que se multiplicaran las presiones sobre Lobato. ""Solo iba a dañar al PSOE en Madrid y a los avances en la unidad que habíamos conseguido en estos tres años"", dice el socialista en su comunicado, en el que agrega que su objetivo ""siempre ha sido construir un proyecto ambicioso y con ilusión para Madrid y así debe seguir siendo en el futuro"". Juan Lobato tiene una casa en propiedad, dos coches y plan de pensiones: así son los bienes del político El sueldo de Juan Lobato en el Senado El sueldo de Juan Lobato como líder del PSOE de Madrid no es público, por lo que se desconoce el dinero que dejará de ingresar al renunciar a este puesto. Hasta hoy, desempeñaba triple empleo: al frente de la formación PSOE-M , como portavoz en la Asamblea y como senador en las Cortes Generales de España . Como todo cargo público, Lobato está obligado a rendir cuentas, como mínimo, una vez al año y esta consulta, de acuerdo a la Ley 19/2013, de 9 de diciembre, es de libre acceso para la ciudadanía. Mediante el portal de transparencia podemos saber el dinero que recibe al mes por su trabajo como senador. El sueldo bruto asciende a 58.317 euros, lo que supone una aportación mensual de 4.165 euros. Ferraz toma el control del PSOE-M tras la marcha de Lobato y prevé mantener los plazos de primarias para evitar rivales Las cantidades fijadas incluyen el salario base y las dietas. Por el primer concepto recibe 3.189 euros mientras que por el segundo suman en nómina un total de 976 euros, tal y como se recoge en dicho portal."
Así es la 'lavadora humana': el aparato del futuro para sustituir a la ducha que funciona con IA,https://www.20minutos.es/noticia/5659456/0/asi-lavadora-humana-aparato-futuro-sustituir-ducha-funciona-ia/,"Una firma japonesa llamada Science Co, dedicada a la venta de cabezales de ducha, ha lanzado un nuevo invento con el que pretender revolucionar el concepto de higiene y que ha sido bautizado como 'la lavadora humana'. Se trata de una cápsula, parecida a la cabina de un avión de combate con una cubierta transparente que se abre por la parte posterior. Los usuarios se sientan en un asiento central mientras el dispositivo se llena parcialmente con agua caliente. Unos sensores integrados miden los signos vitales para garantizar una temperatura segura y cómoda. Un sistema de inteligencia artificial mejora la experiencia analizando el estado emocional del usuario y proyectando imágenes relajantes en la cubierta transparente. E l ciclo dura 15 minutos. Los robots asistentes llegan a los hospitales de Madrid junto a las cámaras con IA Su presentación oficial está prevista para la feria Expo Osaka Kansai , en abril del próximo año. La compañía planea permitir que los usuarios acudan y prueben el nuevo dispositivo antes de que salga al mercado. El presidente de la empresa, Yasuaki Aoyama, afirmó: ""Ya estamos en el 70 por ciento de los casos. Planeamos ofrecer a 1.000 visitantes generales la oportunidad de utilizarlo durante la exposición"". Este proyecto está inspirado en uno de los años 70. Pero la máquina original, creada por Sanyo Electric Co., no tuvo éxito. Su versión se llamó 'Baño Ultrasónico' y tenía algunas diferencias notables con respecto al modelo del siglo XXI. El baño emitía ondas ultrasónicas y liberaba bolas de plástico para masajear el cuerpo de la persona."
Cómo saber de quién es un número de teléfono sin devolver la llamada,https://www.20minutos.es/lainformacion/practicopedia/como-saber-quien-numero-telefono-desconocido-sin-devovler-llamada-5266258/,"Si tiene suna llamada perdida de un número que no conoces y no lo tienes registrado en tu agencia como un contacto, puede ser que se trata de una línea comercial o 'spam'. Si quieres saber a quien pertenece este número sin tener que llamar de vuelta, existen distintos métodos que pueden ser útiles. Desde descargar aplicaciones especializadas hasta realizar una búsqueda en Google , estos son los mejores trucos para averiguar de quién es un número desconocido . Al igual que no tenemos todos los números guardados para poder decidir si queremos o no queremos coger el teléfono . Por ejemplo, muchas empresas ya hacen llamadas publicitarias, también conocidas como llamadas spam , a través de números de móvil que podrían pasar perfectamente por el teléfono de cualquier conocido. Para averiguar quién nos ha llamado o a quién pertenece ese número sin tener que devolver la llamada, existe la posibilidad de descargar alguna aplicación de rastreo de teléfono. Las dos más descargadas son Truecaller y Hiya , ambas gratuitas, que ante una llamada avisan de quién se encuentra al otro lado de la línea. También existen métodos más rudimentarios o trucos caseros. Por ejemplo, si el teléfono que nos llama es un móvil podemos guardarlo en la agenda y abrir WhatsApp. Ahí, gracias a la foto de perfil, podremos saber quién es y decidir si queremos (o no) devolver la llamada. Otros prefieren escribir el número en las búsquedas de Google para saber si ha sido denunciado previamente como spam o si el directorio detecta que pertenece a alguna empresa en concreto. Cómo detectar llamadas spam Otro método sencillo para detectar llamadas spam y así evitar cogerlas es activar Google. Muchos teléfonos móviles, como los de la marca Bq, ya utilizan su sistema de manera predeterminada. Al tener Google activado, en cada llamada se nos avisará de si el número de teléfono es publicidad o spam o bien nos mostrará el nombre del comercio que nos llame, ya que se nutre de la base de datos de Google Maps para poder ofrecer esta información. Por último, siempre podemos acudir a los listados online de números de spam ( como este ) donde buscar si el teléfono que nos ha llamado está registrado o más sencillamente introducir el número en el motor de búsqueda online para ver si los resultados nos dan una respuesta clara sobre la identidad detrás de ese teléfono."
"Susana Díaz pide un PSOE en Andalucía ""respirable"" y donde se pueda opinar ""sin que te caiga una manta de palos""",https://www.20minutos.es/noticia/5659458/0/susana-diaz-pide-un-psoe-andalucia-respirable-donde-se-pueda-opinar-sin-que-te-caiga-una-manta-palos/,"La senadora del PSOE y expresidente de la Junta de Andalucía Susana Díaz ha reclamado este sábado a la dirección socialista en Andalucía que permita un partido ""habitable y respirable"" donde se pueda opinar ""sin que te caiga una manta de palos"" porque es necesario ""contar con todo el talento de la organización"" para hacer frente a la mayoría absoluta del PP en el Gobierno andaluz. Susana Díaz ha lanzado este mensaje en clave regional a su llegada para participar como invitada en el Congreso Federal del PSOE -en el que no fue elegida como delegada- al ser preguntada por los periodistas por si el secretario general del PSOE-A, Juan Espadas , es la mejor opción para seguir al frente del partido tras el próximo Congreso Regional. ""He sido la única mujer presidenta de la Junta y secretaria general del PSOE-A y mi papel tiene que ser de mucho respeto, pero quiero hacer un llamamiento para hacer del PSOE-A u n partido habitable y respetuoso por la pluralidad de la organización"", ha asegurado Agrupaciones del PSOE proponen expulsar a los afiliados que ""demanden prostitución"" Asimismo, Díaz ha advertido a la actual dirección regional de que ""no se puede perder tantísimo talento y la gente tiene que sentirse cómoda más allá de que hayan apoyado a un candidato o a otra candidata en procesos anteriores porque enfrente tenemos una mayoría absoluta del PP y, o se cuenta con toda la organización haciendo que el partido sea habitable y respirable o va a costar mucho trabajo"". Susana Díaz ha señalado que ""ya decidirán los militantes"" en primarias quien lidera el PSOE-A, pero ha insistido en que ""la mayor tarea tiene que ser que el PSOE-A es ser un partido habitable, respirable, donde se pueda manifestar su opinión sin que automáticamente te caiga una manta de palos"" como le ha ocurrido a ella cuando ""se me ocurre decir algo siendo bastante respetuosa"". El PSOE guarda un minuto de silencio en su 41º Congreso por las víctimas de la DANA entre gritos de ""Mazón dimisión"" ""Y lo dice a alguien que no espera nada, ni busca nada porque la pantalla de Andalucía la pasé, pero creo que el partido tiene que ser muy abierto a las sugerencias, a las aportaciones y al trabajo de los compañeros, dejando que todo el mundo pueda aportar un momento muy complicado a nuestra comunidad"" , ha subrayado antes de alertar de que ""los congresos se hacen bien no cuando todo el mundo va uniformado, sino cuando una vez que pasa el debate se tiene la capacidad de integrar, de que nos sintamos cómodos y que al final el candidato o la candidata que haya ganado sea, aunque no lo hayas votado, sea el tuyo"". A su juicio, ""aquí hace falta todo el mundo y el PSOE-A debe salir unido del próximo Congreso Regional después de un debate sereno donde se pueda expresar con tranquilidad y con sosiego y si eso se consigue pues el quien será lo de menos""."
Investigan si el patrón de consumo de alcohol se puede predecir por la longitud de los dedos índice y anular,https://www.20minutos.es/salud/investigan-si-patron-consumo-alcohol-puede-predecir-longitud-dedos-indice-anular-5659455/,"La longitud de los dedos puede contener una pista vital sobre los hábitos de consumo de alcohol , según un nuevo estudio realizado por investigadores de la Universidad Médica de Lodz ( Polonia ) y de la Universidad de Swansea ( Reino Unido ). Este se basa en investigaciones anteriores donde las proporciones de dedos diferentes marcan patrones de comportamiento muy definidos por condiciones fisiológicas y de comportamiento sexualmente dimórficas. Los hallazgos, que acaban de ser publicados en revista American Journal of Human Biology , encontraron relaciones entre el alto consumo de alcohol y el cuarto dígito largo en relación con el segundo de la mano derecha. Esto demostró que la testosterona prenatal alta en relación con el estrógeno está relacionada con el alto consumo de alcohol entre los estudiantes. ""El consumo de alcohol es un importante problema social y económico . Por lo tanto, es importante comprender por qué el consumo de alcohol muestra diferencias considerables entre individuos"", afirma el profesor John Manning, del equipo de investigación de Deportes, Tecnología, Ejercicio y Medicina Aplicados (A-STEM) de Swansea. Así se manifiestan los primeros síntomas de alcoholismo según los expertos El estudio utilizó una muestra de 258 participantes , todos estudiantes, 169 de ellos mujeres, y reveló que las tasas de consumo varían entre los sexos. En comparación con las mujeres, los hombres presentan un mayor consumo de alcohol y una mayor mortalidad por abuso de alcohol. ""Un patrón como este sugiere una participación de las hormonas sexuales, como la testosterona y el estrógeno"", señala el investigador. Esta investigación, como las anteriores que usan el rato de los dígitos, señala que la longitud relativa del segundo dedo (índice) al cuarto dedo (anular) (2D:4D) es un correlato negativo putativo de la exposición prenatal a la testosterona temprana (corresponde al anular largo) y el estrógeno (indice largo). La investigación trabaja además sobre la evidencia de que los pacientes con dependencia del alcohol tienen el cuarto dedo muy largo en relación con el segundo, lo que sugiere un alto nivel de testosterona en relación con la exposición a estrógenos antes del nacimiento. Como se esperaba, señala el investigador, ""las asociaciones fueron más fuertes en los hombres que en las mujeres"". Ahora espera que sus conclusiones aporten una mejor comprensión de los factores que subyacen al patrón de consumo de alcohol, desde la abstinencia hasta el uso ocasional y la dependencia dañina . Aunque los estudios correlacionales sugieren que las proporciones de los dedos reflejan la exposición prenatal a los andrógenos, el mecanismo de desarrollo subyacente al desarrollo sexualmente dimórfico de los dedos sigue siendo desconocido . Cómo saber si tus dedos indican lo que bebes El consumo de alcohol se relacionó negativamente con 2D:4D, lo que sugiere que los niveles altos de testosterona prenatal (anular largo) y los niveles bajos de estrógeno prenatal (indice corto) están vinculados con su consumo . Lo que se mide es el ratio digital, es decir la relación de las longitudes de los diferentes dedos de la mano, desde el punto medio de la parte inferior del pliegue (donde el dedo se une a la mano) a la punta del dedo. La diferencia entre los dos dedos es la que señala el cuánto mayor es el consumo. Las correlaciones variaron en fuerza de pequeñas a grandes, y las más fuertes se encontraron para la variación 2D:4D en la mano derecha en los hombres. La elección de la mano derecha para estudiar la proporción 2D:4D no es casual, sino que refleja la idea de que esta mano responde más claramente a las influencias hormonales prenatales, proporcionando un marcador biológico más preciso. Se analizó también el tamaño corporal de los sujetos observados, las evidencias en este caso fueron pequeñas, y se limitaron a los hombres y no fueron independientes de las proporciones de los dedos."
Los pequeños municipios se blindan ante los ataques: Madrid comienza a impartir cursos de ciberseguridad,https://www.20minutos.es/noticia/5659286/0/los-pequenos-municipios-se-blindan-ante-los-ataques-madrid-comienza-impartir-cursos-ciberseguridad/,"Los municipios con menos de 20.000 habitantes de la Comunidad de Madrid empezarán a recibir la semana que viene cursos específicos para reforzar su ciberseguridad, aprendiendo a identificar, clasificar y evaluar todo tipo de amenazas informáticas. Asimismo, el Gobierno regional va a desplegar el Servicio de Vigilancia Digital para proporcionar una respuesta ágil ante cualquier ataque digital. Todas estas iniciativas se enmarcan dentro de los planes de la Consejería de Digitalización para blindar a la administración regional y evitar brechas de seguridad. ""El objetivo de estos cursos es preparar y sensibilizar a estas pequeñas poblaciones sobre los cada vez más sofisticados métodos de ciberataque que entran en nuestros sistemas informáticos a través de brechas de seguridad"", ha indicado el consejero de Digitalización, Miguel López-Valverde. Durante la formación se explicarán las formas de actuar ante una amenaza y la manera de prevenirla, como evitar que las credenciales que usan los empleados públicos se utilicen para registrarse en otras páginas de internet. Asimismo, se va a desplegar el Servicio de Vigilancia Digital a través de la Agencia de Ciberseguridad. El consejero ha anunciado esta iniciativa este sábado tras la reunión con la empresa TRC, quien además de impartir los cursos en las localidades, pondrán en marcha el nuevo servicio. El sistema utilizará una plataforma de inteligencia de amenazas de vanguardia que ""aprovecha el aprendizaje automático y el análisis predictivo para proporcionar una localización automatizada de los peligros al instante"". Con esto, se podrán detectar potenciales amenazas emergentes y dar una respuesta más ágil a la hora de detectarla y reaccionar cuando se produce una agresión a cualquiera de los sistemas. El Plan Vive pisa el acelerador en Alcorcón: ya se han dado la mitad de los pisos prometidos Junto a este servicio, se va a crear el Equipo de Respuesta a incidentes de Ciberseguridad. Los profesionales dedicados a esta tarea proporcionarán soluciones rápidas y efectivas ante un ataque. El equipo contará con la suficiente capacidad de análisis, evaluación y triaje para planificar y determinar las siguientes acciones a realizar. Para 2025, la Comunidad de Madrid quiere reforzar y blindar la seguridad de la región en la red. Por ello, a lo largo del año se incrementarán los equipos dedicados a este fin. Bajo este fin, los presupuestos del Ejecutivo autonómico contemplan una partida de tres millones de euros para que la Agencia de Ciberseguridad cuente con más recursos. El consejero ha asegurado que se está preparando un Plan Estratégico de Ciberseguridad ""que se convertirá en la guía para prevenir y gestionar los ataques informáticos de una forma protocolizada en todo el territorio madrileño""."
